Order_id,buyer_id,manufacturer_id,inventoryid_id,seller_id,c_time
62,Barry2962,,80062,Davis4317,8/14/2020
63,Barry1507,42,80063,Davis4763,11/1/2020
64,Barry3785,43,80064,Davis1149,2/3/2021
65,Barry2126,,80065,Davis2816,8/24/2020
66,Barry1559,,80066,Davis1568,9/22/2020
67,Barry271,44,80067,Davis2189,11/11/2020
68,Barry625,45,80068,Davis648,4/6/2021
69,Barry1536,46,80069,Davis2469,10/31/2020
70,Barry10,47,80070,Davis4628,6/18/2020
71,Barry4343,,80071,Davis4822,7/11/2020
72,Barry2340,,80072,Davis4507,4/26/2021
73,Barry1164,48,80073,Davis314,6/1/2020
74,Barry3320,49,80074,Davis4863,8/29/2020
75,Barry969,50,80075,Davis2101,11/22/2020
76,Barry1214,51,80076,Davis2958,1/8/2021
77,Barry1648,52,80077,Davis2322,6/2/2020
78,Barry3999,,80078,Davis3992,1/4/2021
79,Barry1578,53,80079,Davis3885,3/9/2021
80,Barry3152,,80080,Davis3332,1/29/2021
81,Barry3849,54,80081,Davis2533,5/12/2021
82,Barry1760,,80082,Davis3658,12/23/2020
83,Barry4286,55,80083,Davis1858,6/26/2020
84,Barry1821,56,80084,Davis1650,3/19/2021
85,Barry1546,57,80085,Davis747,1/28/2021
86,Barry1423,58,80086,Davis2624,3/20/2021
87,Barry2753,59,80087,Davis4002,6/12/2020
88,Barry976,60,80088,Davis1199,1/8/2021
89,Barry1225,61,80089,Davis2426,9/21/2020
90,Barry1672,62,80090,Davis3295,8/6/2020
91,Barry1428,,80091,Davis2620,10/21/2020
92,Barry2971,63,80092,Davis4833,8/9/2020
93,Barry3094,64,80093,Davis4530,4/20/2021
94,Barry1996,65,80094,Davis1643,10/20/2020
95,Barry910,66,80095,Davis372,9/20/2020
96,Barry2421,67,80096,Davis2474,10/21/2020
97,Barry4186,68,80097,Davis3951,12/31/2020
98,Barry4442,69,80098,Davis4163,1/25/2021
99,Barry1359,70,80099,Davis4305,10/21/2020
100,Barry3119,71,80100,Davis4053,11/27/2020
101,Barry108,72,80101,Davis3619,9/30/2020
102,Barry2069,73,80102,Davis266,5/23/2020
103,Barry2726,,80103,Davis4957,8/22/2020
104,Barry4822,,80104,Davis1702,1/29/2021
105,Barry503,,80105,Davis2633,6/15/2020
106,Barry1404,,80106,Davis4512,1/1/2021
107,Barry36,,80107,Davis3779,11/18/2020
108,Barry816,74,80108,Davis4045,12/24/2020
109,Barry735,75,80109,Davis3200,9/2/2020
110,Barry374,,80110,Davis450,7/26/2020
111,Barry2223,,80111,Davis579,2/17/2021
112,Barry489,,80112,Davis2196,4/6/2021
113,Barry3097,76,80113,Davis461,10/28/2020
114,Barry4833,,80114,Davis152,3/16/2021
115,Barry404,77,80115,Davis2371,7/6/2020
116,Barry3215,78,80116,Davis190,3/14/2021
117,Barry2786,79,80117,Davis398,7/1/2020
118,Barry2991,80,80118,Davis1848,4/27/2021
119,Barry3463,,80119,Davis2590,3/11/2021
120,Barry852,81,80120,Davis1706,3/31/2021
121,Barry2036,82,80121,Davis1978,6/6/2020
122,Barry1871,,80122,Davis1153,8/7/2020
123,Barry4033,83,80123,Davis2725,10/23/2020
124,Barry1025,84,80124,Davis1036,5/17/2021
125,Barry4232,85,80125,Davis3604,10/28/2020
126,Barry4505,86,80126,Davis385,9/24/2020
127,Barry2072,,80127,Davis474,1/13/2021
128,Barry3034,87,80128,Davis864,2/26/2021
129,Barry4279,88,80129,Davis3951,3/27/2021
130,Barry4329,89,80130,Davis3715,6/5/2020
131,Barry3630,,80131,Davis4577,12/30/2020
132,Barry2350,90,80132,Davis3867,10/26/2020
133,Barry1316,,80133,Davis3697,1/7/2021
134,Barry992,91,80134,Davis3370,6/15/2020
135,Barry2932,92,80135,Davis2091,1/15/2021
136,Barry3304,93,80136,Davis59,10/6/2020
137,Barry1480,94,80137,Davis995,7/31/2020
138,Barry3025,95,80138,Davis3028,9/9/2020
139,Barry1234,96,80139,Davis4991,11/14/2020
140,Barry650,,80140,Davis4195,3/24/2021
141,Barry1929,97,80141,Davis845,4/15/2021
142,Barry102,98,80142,Davis1250,11/13/2020
143,Barry2728,99,80143,Davis2409,9/19/2020
144,Barry93,100,80144,Davis3158,2/24/2021
145,Barry3878,101,80145,Davis3421,6/5/2020
146,Barry3377,102,80146,Davis4056,5/14/2021
147,Barry287,103,80147,Davis2436,7/13/2020
148,Barry1621,,80148,Davis2353,4/5/2021
149,Barry1835,104,80149,Davis224,9/26/2020
150,Barry1043,105,80150,Davis364,8/10/2020
151,Barry3514,,80151,Davis2907,1/2/2021
152,Barry3200,,80152,Davis580,4/16/2021
153,Barry1639,106,80153,Davis4681,5/17/2021
154,Barry2685,107,80154,Davis3820,2/26/2021
155,Barry3681,108,80155,Davis3151,1/1/2021
156,Barry847,,80156,Davis2794,1/22/2021
157,Barry2386,109,80157,Davis3627,5/24/2020
158,Barry3787,110,80158,Davis568,9/13/2020
159,Barry4881,111,80159,Davis2095,3/16/2021
160,Barry3491,,80160,Davis3767,9/2/2020
161,Barry1992,,80161,Davis2751,1/20/2021
162,Barry3762,112,80162,Davis173,2/22/2021
163,Barry3192,113,80163,Davis4556,6/20/2020
164,Barry2441,,80164,Davis612,9/7/2020
165,Barry4845,114,80165,Davis600,3/5/2021
166,Barry1849,,80166,Davis2148,7/25/2020
167,Barry4916,115,80167,Davis3264,12/28/2020
168,Barry2023,116,80168,Davis2528,7/18/2020
169,Barry3032,117,80169,Davis2591,3/8/2021
170,Barry389,118,80170,Davis2191,1/12/2021
171,Barry4967,119,80171,Davis2708,5/28/2020
172,Barry4998,,80172,Davis1219,9/11/2020
173,Barry4883,120,80173,Davis479,5/17/2021
174,Barry2446,121,80174,Davis3474,6/14/2020
175,Barry3116,122,80175,Davis3745,11/13/2020
176,Barry4266,123,80176,Davis3391,11/22/2020
177,Barry362,124,80177,Davis2584,1/3/2021
178,Barry2778,125,80178,Davis2007,12/20/2020
179,Barry2879,126,80179,Davis3614,10/17/2020
180,Barry2679,127,80180,Davis4831,9/14/2020
181,Barry4011,128,80181,Davis171,8/24/2020
182,Barry3063,,80182,Davis3284,5/8/2021
183,Barry2310,,80183,Davis1553,9/14/2020
184,Barry1758,,80184,Davis4510,3/8/2021
185,Barry453,129,80185,Davis4370,2/18/2021
186,Barry80,130,80186,Davis3472,4/13/2021
187,Barry1772,131,80187,Davis106,11/7/2020
188,Barry2203,,80188,Davis671,2/19/2021
189,Barry1113,132,80189,Davis961,10/21/2020
190,Barry436,133,80190,Davis4715,2/20/2021
191,Barry1550,134,80191,Davis4458,5/15/2021
192,Barry1308,135,80192,Davis2806,10/6/2020
193,Barry3904,136,80193,Davis4612,12/28/2020
194,Barry1658,,80194,Davis1352,10/22/2020
195,Barry756,,80195,Davis3744,10/21/2020
196,Barry3075,137,80196,Davis2982,8/15/2020
197,Barry1472,138,80197,Davis2768,8/29/2020
198,Barry3696,139,80198,Davis2552,10/5/2020
199,Barry4851,140,80199,Davis4594,3/12/2021
200,Barry3503,141,80200,Davis3760,1/18/2021
201,Barry1284,142,80201,Davis3361,9/26/2020
202,Barry790,143,80202,Davis2555,10/15/2020
203,Barry1668,,80203,Davis4977,5/6/2021
204,Barry3787,144,80204,Davis3935,3/20/2021
205,Barry4219,145,80205,Davis752,9/19/2020
206,Barry4092,146,80206,Davis4654,10/11/2020
207,Barry4006,147,80207,Davis4143,6/19/2020
208,Barry953,,80208,Davis3178,5/11/2021
209,Barry3167,148,80209,Davis505,5/24/2020
210,Barry1664,149,80210,Davis3852,8/13/2020
211,Barry1520,150,80211,Davis3423,2/13/2021
212,Barry3984,,80212,Davis4652,12/8/2020
213,Barry416,151,80213,Davis4034,8/13/2020
214,Barry3827,152,80214,Davis46,10/4/2020
215,Barry2451,,80215,Davis558,7/17/2020
216,Barry788,,80216,Davis4398,1/18/2021
217,Barry4406,,80217,Davis547,1/28/2021
218,Barry4374,153,80218,Davis2850,8/7/2020
219,Barry3249,154,80219,Davis2824,8/30/2020
220,Barry1862,155,80220,Davis1493,1/3/2021
221,Barry1819,,80221,Davis3814,4/8/2021
222,Barry4973,156,80222,Davis1906,11/30/2020
223,Barry4351,,80223,Davis4490,4/27/2021
224,Barry1431,,80224,Davis2759,7/23/2020
225,Barry1945,157,80225,Davis1177,12/1/2020
226,Barry730,158,80226,Davis4030,6/16/2020
227,Barry2228,,80227,Davis3710,8/17/2020
228,Barry1967,159,80228,Davis153,11/24/2020
229,Barry2104,160,80229,Davis3886,3/3/2021
230,Barry3173,,80230,Davis1569,5/19/2020
231,Barry2074,161,80231,Davis1639,4/2/2021
232,Barry3279,,80232,Davis457,1/7/2021
233,Barry4940,162,80233,Davis4537,7/10/2020
234,Barry3279,163,80234,Davis1068,3/1/2021
235,Barry3044,,80235,Davis4161,7/7/2020
236,Barry3292,164,80236,Davis619,1/3/2021
237,Barry3324,165,80237,Davis1471,1/3/2021
238,Barry534,166,80238,Davis4229,4/3/2021
239,Barry1588,167,80239,Davis1053,5/28/2020
240,Barry4210,168,80240,Davis2316,1/9/2021
241,Barry4475,,80241,Davis1345,5/12/2021
242,Barry3053,169,80242,Davis3999,11/12/2020
243,Barry4174,,80243,Davis701,11/21/2020
244,Barry940,,80244,Davis2150,8/12/2020
245,Barry3656,170,80245,Davis4809,7/26/2020
246,Barry236,171,80246,Davis2603,6/19/2020
247,Barry2937,172,80247,Davis162,5/17/2021
248,Barry855,,80248,Davis4461,6/14/2020
249,Barry2739,,80249,Davis2185,12/13/2020
250,Barry1223,173,80250,Davis3896,6/23/2020
251,Barry372,174,80251,Davis2295,4/1/2021
252,Barry1871,175,80252,Davis2184,4/8/2021
253,Barry2336,176,80253,Davis4694,6/23/2020
254,Barry4799,177,80254,Davis242,3/20/2021
255,Barry173,,80255,Davis2488,4/2/2021
256,Barry3545,178,80256,Davis1169,3/23/2021
257,Barry3045,,80257,Davis3534,1/18/2021
258,Barry399,179,80258,Davis1504,9/27/2020
259,Barry2419,,80259,Davis2582,7/30/2020
260,Barry2359,180,80260,Davis2228,2/22/2021
261,Barry2818,181,80261,Davis2270,8/5/2020
262,Barry3816,182,80262,Davis2903,6/24/2020
263,Barry3912,,80263,Davis4729,9/18/2020
264,Barry1775,183,80264,Davis1137,4/26/2021
265,Barry2585,184,80265,Davis1023,10/25/2020
266,Barry509,185,80266,Davis2098,9/18/2020
267,Barry1569,,80267,Davis3272,6/30/2020
268,Barry1901,186,80268,Davis247,8/7/2020
269,Barry162,,80269,Davis4990,10/30/2020
270,Barry1148,,80270,Davis236,1/2/2021
271,Barry1308,,80271,Davis196,10/17/2020
272,Barry1054,,80272,Davis1742,9/24/2020
273,Barry765,,80273,Davis4736,11/1/2020
274,Barry4201,,80274,Davis1849,11/17/2020
275,Barry3753,187,80275,Davis2180,5/29/2020
276,Barry2858,188,80276,Davis3482,5/28/2020
277,Barry1993,189,80277,Davis1205,1/18/2021
278,Barry2213,,80278,Davis1530,7/28/2020
279,Barry4252,190,80279,Davis4251,8/12/2020
280,Barry3962,191,80280,Davis98,3/2/2021
281,Barry2478,192,80281,Davis148,2/13/2021
282,Barry1013,193,80282,Davis3625,7/2/2020
283,Barry4470,194,80283,Davis3129,7/8/2020
284,Barry236,,80284,Davis648,10/31/2020
285,Barry3519,,80285,Davis2835,5/1/2021
286,Barry275,195,80286,Davis1751,2/1/2021
287,Barry2871,,80287,Davis1069,11/23/2020
288,Barry4346,196,80288,Davis1012,12/7/2020
289,Barry239,,80289,Davis2984,5/22/2020
290,Barry2141,,80290,Davis3468,6/1/2020
291,Barry2999,,80291,Davis1760,4/7/2021
292,Barry4143,197,80292,Davis3182,3/9/2021
293,Barry740,,80293,Davis4870,9/13/2020
294,Barry1617,198,80294,Davis3667,10/25/2020
295,Barry2972,,80295,Davis3905,7/18/2020
296,Barry1743,199,80296,Davis506,8/29/2020
297,Barry2484,200,80297,Davis79,7/6/2020
298,Barry4439,201,80298,Davis2769,9/5/2020
299,Barry3357,202,80299,Davis2763,1/12/2021
300,Barry2932,203,80300,Davis1849,10/21/2020
301,Barry1956,204,80301,Davis4606,8/23/2020
302,Barry2896,205,80302,Davis2893,2/10/2021
303,Barry317,206,80303,Davis1381,4/19/2021
304,Barry500,207,80304,Davis1657,8/11/2020
305,Barry3312,208,80305,Davis3410,4/4/2021
306,Barry964,209,80306,Davis4049,10/21/2020
307,Barry503,210,80307,Davis1984,5/5/2021
308,Barry2252,,80308,Davis4471,1/17/2021
309,Barry173,,80309,Davis4963,6/2/2020
310,Barry1895,211,80310,Davis2737,6/29/2020
311,Barry4273,212,80311,Davis3531,8/3/2020
312,Barry4636,,80312,Davis1158,9/13/2020
313,Barry2654,,80313,Davis4764,4/17/2021
314,Barry3619,,80314,Davis2706,3/17/2021
315,Barry914,213,80315,Davis3469,4/22/2021
316,Barry234,214,80316,Davis2628,3/10/2021
317,Barry1593,,80317,Davis2658,3/3/2021
318,Barry3022,215,80318,Davis3192,1/23/2021
319,Barry1614,216,80319,Davis698,1/29/2021
320,Barry3888,,80320,Davis2412,11/22/2020
321,Barry1617,,80321,Davis3801,3/22/2021
322,Barry2985,217,80322,Davis1492,4/27/2021
323,Barry2388,218,80323,Davis3734,5/2/2021
324,Barry3042,,80324,Davis4391,5/16/2021
325,Barry425,219,80325,Davis3312,5/18/2020
326,Barry420,220,80326,Davis4032,10/15/2020
327,Barry1002,221,80327,Davis172,4/11/2021
328,Barry4119,222,80328,Davis1706,12/3/2020
329,Barry157,223,80329,Davis181,9/19/2020
330,Barry2765,224,80330,Davis3528,5/16/2021
331,Barry4380,,80331,Davis3208,4/14/2021
332,Barry2625,225,80332,Davis3833,6/10/2020
333,Barry727,226,80333,Davis1910,12/6/2020
334,Barry2934,227,80334,Davis3477,5/11/2021
335,Barry579,,80335,Davis2090,11/15/2020
336,Barry1694,,80336,Davis3303,7/22/2020
337,Barry1121,,80337,Davis4986,7/24/2020
338,Barry1628,228,80338,Davis4239,11/25/2020
339,Barry3993,229,80339,Davis3191,12/23/2020
340,Barry385,230,80340,Davis3303,4/16/2021
341,Barry3351,231,80341,Davis531,8/20/2020
342,Barry2997,232,80342,Davis1670,4/9/2021
343,Barry2917,233,80343,Davis4324,3/17/2021
344,Barry2331,234,80344,Davis1112,4/2/2021
345,Barry1023,,80345,Davis4243,12/5/2020
346,Barry3633,235,80346,Davis1638,7/11/2020
347,Barry2693,,80347,Davis1283,5/2/2021
348,Barry2393,236,80348,Davis3776,7/7/2020
349,Barry2217,237,80349,Davis593,8/1/2020
350,Barry2829,238,80350,Davis1537,9/24/2020
351,Barry2030,239,80351,Davis2024,4/16/2021
352,Barry3562,240,80352,Davis1087,3/22/2021
353,Barry2188,241,80353,Davis1380,9/11/2020
354,Barry4543,242,80354,Davis4444,8/18/2020
355,Barry3763,,80355,Davis1427,2/23/2021
356,Barry847,243,80356,Davis488,6/13/2020
357,Barry3754,,80357,Davis648,8/9/2020
358,Barry2162,,80358,Davis1864,3/25/2021
359,Barry734,244,80359,Davis251,8/17/2020
360,Barry2038,245,80360,Davis288,9/25/2020
361,Barry755,246,80361,Davis4589,8/1/2020
362,Barry316,247,80362,Davis4211,3/23/2021
363,Barry4034,248,80363,Davis445,9/3/2020
364,Barry4002,249,80364,Davis2911,2/2/2021
365,Barry429,250,80365,Davis100,9/13/2020
366,Barry1038,,80366,Davis4248,3/5/2021
367,Barry4453,,80367,Davis1317,11/5/2020
368,Barry3092,251,80368,Davis673,9/10/2020
369,Barry3805,252,80369,Davis4048,11/17/2020
370,Barry2511,,80370,Davis601,11/18/2020
371,Barry4551,253,80371,Davis273,8/5/2020
372,Barry2124,254,80372,Davis3947,5/6/2021
373,Barry4690,,80373,Davis2561,5/17/2021
374,Barry4091,255,80374,Davis406,6/23/2020
375,Barry758,,80375,Davis4910,12/14/2020
376,Barry3131,,80376,Davis4805,12/1/2020
377,Barry3773,256,80377,Davis521,6/7/2020
378,Barry1729,,80378,Davis411,5/5/2021
379,Barry3510,257,80379,Davis4521,9/24/2020
380,Barry4204,258,80380,Davis543,5/17/2021
381,Barry571,259,80381,Davis3492,3/23/2021
382,Barry3982,,80382,Davis118,5/13/2021
383,Barry4009,260,80383,Davis2870,11/14/2020
384,Barry3986,261,80384,Davis2021,9/25/2020
385,Barry3829,,80385,Davis3388,4/20/2021
386,Barry3019,262,80386,Davis3048,9/29/2020
387,Barry2300,,80387,Davis3151,7/2/2020
388,Barry4663,263,80388,Davis1049,5/30/2020
389,Barry343,264,80389,Davis1362,10/27/2020
390,Barry2357,,80390,Davis3627,8/11/2020
391,Barry1769,265,80391,Davis3224,1/28/2021
392,Barry3455,266,80392,Davis180,3/28/2021
393,Barry2761,,80393,Davis1613,12/9/2020
394,Barry800,,80394,Davis1498,4/4/2021
395,Barry3615,267,80395,Davis183,1/22/2021
396,Barry2015,,80396,Davis1143,3/19/2021
397,Barry4988,268,80397,Davis1145,10/23/2020
398,Barry4733,269,80398,Davis1333,12/21/2020
399,Barry4903,270,80399,Davis4195,9/16/2020
400,Barry4162,271,80400,Davis3944,10/18/2020
401,Barry3096,,80401,Davis261,12/10/2020
402,Barry2776,,80402,Davis2675,12/7/2020
403,Barry3819,272,80403,Davis4589,11/9/2020
404,Barry255,273,80404,Davis2634,5/11/2021
405,Barry1719,,80405,Davis4709,5/21/2020
406,Barry156,274,80406,Davis2699,5/3/2021
407,Barry3404,,80407,Davis2105,4/22/2021
408,Barry932,,80408,Davis2045,7/9/2020
409,Barry2200,275,80409,Davis2288,7/15/2020
410,Barry1358,276,80410,Davis4500,2/13/2021
411,Barry1871,,80411,Davis4268,10/2/2020
412,Barry2504,277,80412,Davis2716,6/25/2020
413,Barry3759,278,80413,Davis2943,12/28/2020
414,Barry3969,279,80414,Davis4537,3/30/2021
415,Barry2935,,80415,Davis3487,10/3/2020
416,Barry3404,280,80416,Davis2781,11/27/2020
417,Barry1224,,80417,Davis4936,3/11/2021
418,Barry362,281,80418,Davis4217,5/17/2021
419,Barry5000,,80419,Davis2757,4/14/2021
420,Barry3369,282,80420,Davis4837,7/30/2020
421,Barry3352,283,80421,Davis4902,6/3/2020
422,Barry50,284,80422,Davis2140,1/15/2021
423,Barry3016,285,80423,Davis3106,12/6/2020
424,Barry3266,286,80424,Davis306,7/7/2020
425,Barry2148,,80425,Davis4380,7/25/2020
426,Barry4665,,80426,Davis749,6/16/2020
427,Barry4669,287,80427,Davis2859,5/19/2020
428,Barry4608,288,80428,Davis37,7/17/2020
429,Barry3784,289,80429,Davis2060,6/20/2020
430,Barry4671,290,80430,Davis238,1/3/2021
431,Barry4075,,80431,Davis1731,12/10/2020
432,Barry1263,291,80432,Davis1252,3/28/2021
433,Barry1196,,80433,Davis3547,4/18/2021
434,Barry2442,,80434,Davis3876,10/19/2020
435,Barry2421,292,80435,Davis4076,1/29/2021
436,Barry2412,,80436,Davis685,10/19/2020
437,Barry355,,80437,Davis3176,5/26/2020
438,Barry2583,293,80438,Davis3101,2/14/2021
439,Barry1831,,80439,Davis153,10/20/2020
440,Barry4103,294,80440,Davis1427,5/9/2021
441,Barry1063,,80441,Davis38,8/16/2020
442,Barry4893,295,80442,Davis256,2/20/2021
443,Barry2125,,80443,Davis247,5/4/2021
444,Barry4484,296,80444,Davis1366,11/28/2020
445,Barry3854,297,80445,Davis106,7/7/2020
446,Barry293,298,80446,Davis3003,7/21/2020
447,Barry565,299,80447,Davis4510,7/28/2020
448,Barry2772,300,80448,Davis473,9/14/2020
449,Barry3444,,80449,Davis293,11/15/2020
450,Barry4734,,80450,Davis2687,1/25/2021
451,Barry108,301,80451,Davis919,4/4/2021
452,Barry1962,,80452,Davis2625,10/21/2020
453,Barry2531,302,80453,Davis1922,1/18/2021
454,Barry4063,303,80454,Davis4830,8/1/2020
455,Barry3719,304,80455,Davis2842,11/4/2020
456,Barry328,,80456,Davis3092,7/16/2020
457,Barry4969,305,80457,Davis191,6/6/2020
458,Barry4052,306,80458,Davis4235,4/29/2021
459,Barry2139,307,80459,Davis1597,8/25/2020
460,Barry757,308,80460,Davis4382,4/14/2021
461,Barry620,309,80461,Davis3530,7/20/2020
462,Barry2270,310,80462,Davis63,5/1/2021
463,Barry3013,,80463,Davis2065,5/6/2021
464,Barry2928,,80464,Davis4847,10/15/2020
465,Barry354,311,80465,Davis3143,3/18/2021
466,Barry1654,312,80466,Davis3207,6/15/2020
467,Barry4071,313,80467,Davis3980,5/16/2021
468,Barry59,,80468,Davis3259,9/7/2020
469,Barry2868,,80469,Davis909,4/7/2021
470,Barry4359,314,80470,Davis665,2/25/2021
471,Barry1772,315,80471,Davis308,10/5/2020
472,Barry1288,316,80472,Davis3616,4/6/2021
473,Barry2161,317,80473,Davis2538,3/6/2021
474,Barry1018,,80474,Davis477,7/20/2020
475,Barry1943,318,80475,Davis631,6/14/2020
476,Barry4792,319,80476,Davis1209,9/15/2020
477,Barry1589,,80477,Davis128,11/10/2020
478,Barry2971,,80478,Davis4453,7/30/2020
479,Barry2877,320,80479,Davis3661,4/6/2021
480,Barry967,,80480,Davis2889,3/8/2021
481,Barry3943,321,80481,Davis1164,5/16/2021
482,Barry2311,,80482,Davis286,7/12/2020
483,Barry4611,322,80483,Davis1373,4/9/2021
484,Barry4685,,80484,Davis959,9/30/2020
485,Barry3765,323,80485,Davis552,5/31/2020
486,Barry2276,,80486,Davis544,3/5/2021
487,Barry159,324,80487,Davis2355,5/31/2020
488,Barry3892,325,80488,Davis3586,12/16/2020
489,Barry2331,326,80489,Davis899,5/6/2021
490,Barry4398,327,80490,Davis1531,1/27/2021
491,Barry4270,328,80491,Davis3729,9/29/2020
492,Barry1504,329,80492,Davis1219,5/7/2021
493,Barry3558,330,80493,Davis969,1/5/2021
494,Barry2613,,80494,Davis3690,4/24/2021
495,Barry3822,331,80495,Davis1712,2/20/2021
496,Barry2454,,80496,Davis1200,5/24/2020
497,Barry2043,,80497,Davis1475,9/6/2020
498,Barry1019,332,80498,Davis872,12/30/2020
499,Barry1941,333,80499,Davis798,4/25/2021
500,Barry611,334,80500,Davis2034,3/15/2021
501,Barry1368,,80501,Davis214,12/29/2020
502,Barry1962,335,80502,Davis2230,12/31/2020
503,Barry166,336,80503,Davis956,1/4/2021
504,Barry2952,,80504,Davis1349,11/20/2020
505,Barry2515,337,80505,Davis3482,1/10/2021
506,Barry2164,338,80506,Davis1286,8/15/2020
507,Barry2143,,80507,Davis3054,4/16/2021
508,Barry2569,339,80508,Davis745,6/25/2020
509,Barry55,340,80509,Davis4505,4/28/2021
510,Barry2731,,80510,Davis2464,5/25/2020
511,Barry1868,,80511,Davis2763,9/6/2020
512,Barry1117,341,80512,Davis2505,3/11/2021
513,Barry2503,342,80513,Davis583,6/5/2020
514,Barry1462,343,80514,Davis4618,5/23/2020
515,Barry3277,344,80515,Davis1574,8/20/2020
516,Barry1261,345,80516,Davis4075,1/11/2021
517,Barry4595,,80517,Davis769,10/30/2020
518,Barry3509,,80518,Davis3692,6/8/2020
519,Barry1623,,80519,Davis2927,8/2/2020
520,Barry1618,,80520,Davis4644,1/12/2021
521,Barry4951,,80521,Davis4114,3/1/2021
522,Barry185,,80522,Davis2806,4/5/2021
523,Barry2459,346,80523,Davis2455,5/28/2020
524,Barry939,347,80524,Davis2630,3/18/2021
525,Barry4833,348,80525,Davis2723,4/26/2021
526,Barry1518,,80526,Davis1120,1/9/2021
527,Barry892,349,80527,Davis864,8/11/2020
528,Barry2159,,80528,Davis3955,10/30/2020
529,Barry1524,,80529,Davis2434,2/14/2021
530,Barry2060,,80530,Davis3046,4/19/2021
531,Barry3419,350,80531,Davis455,5/15/2021
532,Barry4060,,80532,Davis4060,6/10/2020
533,Barry2916,351,80533,Davis3811,6/26/2020
534,Barry1085,352,80534,Davis2191,9/25/2020
535,Barry2672,353,80535,Davis4659,5/27/2020
536,Barry255,,80536,Davis4485,11/22/2020
537,Barry4910,354,80537,Davis1574,8/17/2020
538,Barry1322,355,80538,Davis3816,3/21/2021
539,Barry2286,356,80539,Davis3599,5/11/2021
540,Barry3520,357,80540,Davis1350,10/17/2020
541,Barry1637,,80541,Davis4325,3/25/2021
542,Barry4007,358,80542,Davis2743,6/23/2020
543,Barry1399,359,80543,Davis1746,6/21/2020
544,Barry2237,,80544,Davis4832,1/15/2021
545,Barry4130,360,80545,Davis3256,10/12/2020
546,Barry2854,,80546,Davis1509,8/11/2020
547,Barry3326,361,80547,Davis880,7/30/2020
548,Barry3952,,80548,Davis1543,1/8/2021
549,Barry4770,362,80549,Davis903,8/9/2020
550,Barry2836,363,80550,Davis639,5/18/2020
551,Barry3459,,80551,Davis1953,6/24/2020
